Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
59,Colorado,P12,17-16,13.05,107.7,94.7,69.0,-0.078,8.56,108.5,99.9,3.78
60,Villanova,BE,17-16,12.98,113.8,100.8,63.7,-0.067,9.40,110.1,100.7,4.05
61,Texas Tech,B12,16-16,12.95,111.8,98.9,67.2,-0.080,9.81,110.1,100.3,-7.03
62,UAB,CUSA,25-9,12.86,112.7,99.9,70.6,-0.027,0.49,105.3,104.8,-4.44
63,Florida,SEC,16-16,12.82,108.2,95.4,69.4,-0.077,9.46,110.1,100.6,5.25
64,Clemson,ACC,23-10,12.67,111.1,98.4,68.2,0.016,2.70,107.7,105.0,-5.56
65,UCF,Amer,18-14,12.59,110.2,97.6,64.5,-0.113,4.02,107.4,103.4,-0.29
66,Drake 12,MVC,27-7,12.51,109.8,97.3,66.4,0.026,-1.65,104.0,105.7,-1.72
67,Yale,Ivy,21-8,12.39,110.8,98.4,66.1,-0.044,-0.71,104.5,105.2,0.36
68,Arizona St. 11,P12,22-12,12.38,107.6,95.2,68.4,0.069,8.69,108.9,100.3,1.31
69,Sam Houston St.,WAC,25-7,12.28,106.6,94.3,64.4,0.052,2.17,105.9,103.7,7.27
70,Seton Hall,BE,17-15,12.23,106.7,94.5,66.5,-0.042,9.46,110.0,100.6,2.72
71,Kent St. 13,MAC,28-6,11.90,108.3,96.4,68.1,0.019,-1.42,106.3,107.7,3.47
72,Utah,P12,17-15,11.85,107.7,95.8,66.2,-0.077,6.83,107.6,100.8,-3.66
73,Charleston 12,CAA,31-3,11.76,111.4,99.6,71.0,0.052,-5.71,102.3,108.0,-1.96
74,Iona 13,MAAC,27-7,11.71,110.9,99.1,68.9,-0.006,-3.80,102.6,106.4,4.29
75,BYU,WCC,19-15,11.59,109.2,97.6,69.6,-0.103,5.31,108.5,103.2,1.28
76,Wisconsin,B10,17-14,11.54,106.4,94.9,63.1,0.004,10.63,111.2,100.6,1.06
77,Pittsburgh 11,ACC,22-11,11.27,115.1,103.8,67.3,0.030,3.67,108.1,104.4,-2.92
78,Dayton,A10,22-12,11.20,110.0,98.8,62.4,-0.056,0.18,104.7,104.5,-1.73
79,Utah Valley,WAC,25-8,10.87,107.3,96.5,70.0,0.046,2.03,106.2,104.1,5.09
80,Vanderbilt,SEC,20-14,10.82,115.7,104.9,66.7,0.078,9.46,109.3,99.8,2.30
81,Virginia Tech,ACC,19-14,10.21,113.9,103.7,66.6,-0.060,4.55,108.0,103.4,-3.92
82,Santa Clara,WCC,23-9,10.13,111.3,101.2,70.1,0.090,4.30,108.7,104.4,1.05
83,Stanford,P12,14-19,9.76,114.1,104.4,65.8,-0.125,8.15,107.7,99.6,-0.10
84,Marshall,SB,24-8,9.74,111.3,101.5,72.1,-0.063,-2.70,103.9,106.6,-3.49
85,St. John's,BE,18-15,9.46,107.9,98.5,73.5,-0.013,6.76,108.3,101.5,-7.72
86,Bradley,MVC,25-9,9.24,107.1,97.9,65.2,0.063,-1.10,103.9,105.0,0.30
87,Toledo,MAC,27-7,9.12,119.6,110.5,69.6,0.042,-3.25,104.1,107.4,-1.18
88,Wake Forest,ACC,19-14,8.57,112.1,103.5,69.6,-0.012,4.94,108.0,103.1,-2.20
89,Furman 13,SC,27-7,8.43,114.2,105.8,68.5,0.000,-4.40,104.0,108.4,-2.07
90,Hofstra,CAA,24-9,8.40,110.3,101.9,67.2,0.032,-3.37,102.9,106.3,6.89
91,UNLV,MWC,19-13,8.22,107.8,99.6,69.5,0.014,5.59,107.8,102.2,-2.56
92,Louisiana 13,SB,26-7,8.20,112.2,104.0,68.4,0.077,-0.27,104.2,104.5,0.26
93,San Jose St.,MWC,20-13,7.91,110.7,102.8,62.7,0.086,6.87,108.5,101.6,-1.09
94,South Alabama,SB,19-16,7.74,108.2,100.4,65.8,-0.111,0.91,104.9,103.9,3.82
95,Nebraska,B10,16-16,7.47,106.7,99.2,67.1,0.053,10.41,110.5,100.1,2.09
96,Saint Louis,A10,21-12,7.45,111.7,104.2,69.3,0.027,2.49,105.3,102.8,4.31
97,Indiana St.,MVC,22-12,7.39,110.6,103.2,70.6,-0.104,-4.50,102.1,106.6,-6.55
98,Southern Miss,SB,25-7,7.31,108.0,100.7,68.5,0.094,-0.79,104.7,105.5,-3.32
99,UC Irvine,BW,23-11,7.29,107.7,100.5,69.6,-0.045,-0.78,103.4,104.2,3.39
100,San Francisco,WCC,20-14,6.95,110.1,103.2,68.6,0.019,4.05,108.2,104.1,-2.51
101,James Madison,SB,22-11,6.74,106.7,100.0,70.5,-0.053,-1.42,103.7,105.1,-4.25
102,UC Santa Barbara 14,BW,27-7,6.64,111.3,104.7,65.0,0.057,-2.38,102.8,105.2,-2.69
103,Wichita St.,Amer,17-15,6.51,106.8,100.3,66.3,-0.049,2.79,106.3,103.5,-1.80
104,Akron,MAC,22-11,6.47,110.0,103.5,65.3,0.002,-1.76,105.2,106.9,-0.52
105,Colorado St.,MWC,15-18,6.41,112.3,105.9,66.1,-0.055,7.41,108.4,101.0,2.19
106,Washington,P12,16-16,6.38,105.8,99.4,69.2,0.037,8.08,108.1,100.1,-0.11
107,Loyola Marymount,WCC,19-12,6.32,110.0,103.7,67.1,0.079,4.35,109.0,104.6,0.43
108,Tulane,Amer,20-11,6.30,110.2,103.9,73.1,0.076,1.87,105.5,103.7,-7.94
109,Grand Canyon 14,WAC,24-11,5.99,112.3,106.3,65.2,0.042,0.99,104.7,103.7,0.09
110,Montana St. 14,BSky,25-9,5.75,105.4,99.6,66.5,0.082,-1.09,106.3,107.4,4.47
111,Southern Utah,WAC,22-12,5.64,110.2,104.5,71.9,0.045,3.39,106.3,102.9,5.27
112,Princeton 15,Ivy,21-8,5.57,109.1,103.5,67.5,0.024,-2.55,103.4,105.9,-4.83
113,Vermont 15,AE,23-10,5.42,109.8,104.4,64.6,0.051,-3.68,103.4,107.0,5.86
114,Colgate 15,Pat,26-8,5.29,113.0,107.7,67.9,0.004,-7.69,100.7,108.4,-1.17
115,Mississippi,SEC,12-21,5.03,106.8,101.7,66.1,-0.078,8.03,108.9,100.8,1.46
116,UNC Greensboro,SC,20-12,4.93,103.5,98.6,66.0,-0.044,-2.35,105.5,107.8,2.90
117,Charlotte,CUSA,18-14,4.60,108.0,103.4,60.5,-0.038,-0.75,104.5,105.3,-7.03
118,Temple,Amer,16-16,4.57,107.3,102.7,66.0,0.021,5.04,106.9,101.8,1.38
119,Cal St. Fullerton,BW,20-13,4.55,105.0,100.4,64.8,0.011,0.99,104.8,103.8,3.82
120,Syracuse,ACC,17-15,4.46,110.4,105.9,67.5,0.002,2.88,107.5,104.6,-5.81
121,Middle Tennessee,CUSA,19-14,4.14,106.5,102.4,66.9,0.027,2.72,106.9,104.1,1.77
122,Eastern Washington,BSky,22-10,4.08,111.5,107.5,68.5,0.064,-1.62,104.7,106.4,1.97
123,Belmont,MVC,21-11,4.08,111.5,107.5,68.4,0.025,-1.47,103.9,105.3,0.85
124,Butler,BE,14-18,3.99,102.5,98.5,65.5,-0.001,9.88,110.7,100.8,1.27
125,Duquesne,A10,20-12,3.98,108.6,104.6,68.2,0.012,-1.72,104.7,106.5,-3.95
126,Hawaii,BW,22-11,3.86,102.1,98.2,64.8,-0.014,-3.09,102.9,106.0,-5.67
127,Kennesaw St. 14,ASun,26-8,3.64,106.3,102.7,68.5,0.147,-1.52,105.1,106.7,5.05
128,Troy,SB,20-13,3.56,104.8,101.3,67.9,-0.020,-0.11,104.6,104.7,0.11
129,Youngstown St.,Horz,24-9,3.56,112.9,109.4,68.0,-0.010,-6.63,102.3,108.9,-5.37
130,Towson,CAA,21-12,3.50,108.2,104.7,64.9,-0.048,-4.66,102.3,106.9,-3.51
131,Ohio,MAC,19-14,3.41,110.9,107.4,68.4,-0.038,-2.10,105.8,107.9,0.15
132,Stephen F. Austin,WAC,19-13,3.20,105.5,102.3,69.3,-0.004,0.08,105.1,105.0,-1.70
133,Penn,Ivy,17-13,3.14,110.3,107.2,67.0,-0.003,-0.47,104.9,105.4,-0.56
134,Fresno St.,MWC,11-20,2.97,103.5,100.6,64.3,-0.083,6.79,109.5,102.7,1.15
135,Samford,SC,21-11,2.94,109.3,106.3,68.4,0.002,-3.85,104.1,108.0,-1.55
136,Southern Illinois,MVC,23-10,2.90,101.3,98.4,63.9,0.087,-2.00,103.8,105.8,-3.20
137,UC Riverside,BW,22-12,2.69,107.9,105.2,66.9,0.097,0.40,104.6,104.2,4.45
138,UMass Lowell,AE,26-8,2.64,107.8,105.1,68.9,0.011,-10.23,98.8,109.0,-12.66
139,Fordham,A10,25-8,2.51,103.2,100.7,69.7,0.121,-4.55,101.9,106.5,-13.52
140,Davidson,A10,16-16,2.48,107.4,104.9,65.1,-0.034,1.20,105.1,103.9,-1.40
141,Seattle,WAC,20-12,2.35,102.1,99.8,69.2,0.092,1.57,106.3,104.7,1.08
142,DePaul,BE,10-23,2.27,107.9,105.6,68.8,-0.012,10.15,110.3,100.1,2.31
143,Air Force,MWC,14-18,1.96,106.3,104.4,63.2,-0.057,2.39,107.0,104.6,-10.24
144,Cornell,Ivy,17-11,1.76,112.0,110.3,71.3,-0.005,-1.89,103.7,105.6,-4.59
145,LSU,SEC,14-19,1.62,106.6,105.0,65.9,0.027,6.68,108.6,101.9,-6.20
146,UNC Asheville 15,BSth,27-7,1.51,104.1,102.6,68.5,0.152,-5.30,102.8,108.1,-0.57
147,George Mason,A10,20-13,1.47,102.7,101.2,66.4,0.061,-0.87,104.8,105.7,-1.79
148,Utah Tech,WAC,14-19,1.46,107.9,106.4,68.6,-0.100,2.79,106.2,103.4,4.09
149,Georgia,SEC,16-16,1.39,104.4,103.0,67.7,0.069,4.36,107.5,103.1,-7.05
150,South Florida,Amer,14-18,1.32,105.9,104.6,68.4,-0.067,0.70,105.3,104.6,-7.03
151,Missouri St.,MVC,17-15,1.31,104.6,103.3,62.2,-0.021,-0.81,103.9,104.7,1.65
152,Portland,WCC,14-19,1.26,111.0,109.7,69.1,-0.056,4.44,108.7,104.2,0.64
153,Wyoming,MWC,9-22,1.24,107.9,106.6,65.7,-0.099,7.32,109.1,101.7,-0.15
154,UC Davis,BW,18-14,1.16,104.8,103.7,70.5,-0.028,-1.77,103.3,105.1,-0.80
155,Richmond,A10,15-18,1.09,103.7,102.6,65.4,-0.075,-0.51,105.0,105.5,-2.61
156,Cal Baptist,WAC,17-16,1.04,103.7,102.7,64.1,-0.047,-0.74,104.0,104.8,-6.62
157,Lipscomb,ASun,20-13,1.02,104.9,103.8,69.4,-0.001,-2.61,105.6,108.2,-2.40
158,UNC Wilmington,CAA,24-10,0.86,102.4,101.6,65.4,0.133,-3.38,103.2,106.6,3.90
159,Montana,BSky,17-14,0.64,108.9,108.3,63.7,0.017,-0.79,105.6,106.4,3.60
160,Tarleton St.,WAC,17-16,0.53,103.5,103.0,66.6,0.027,3.57,106.7,103.1,7.30
161,Northern Kentucky 16,Horz,22-12,0.52,103.3,102.8,62.0,0.053,-3.89,104.4,108.3,4.21
162,Long Beach St.,BW,17-16,0.50,105.4,104.9,72.9,-0.012,0.27,103.8,103.5,6.53
163,Harvard,Ivy,14-14,0.32,101.3,100.9,66.0,-0.081,-1.70,104.0,105.7,-2.85
164,Ball St.,MAC,20-12,0.22,108.1,107.9,67.6,0.019,-3.41,104.9,108.3,-3.99
165,Stetson,ASun,17-13,0.20,113.7,113.5,64.7,0.034,-0.63,105.7,106.3,6.39
166,South Dakota St.,Sum,19-13,0.18,105.2,105.0,66.6,0.066,-1.74,105.1,106.8,8.66
